unique.ID,old.block,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,notes,bkgrd.seed.weight,bkgrd.seeded,focal.seeded,date,initials,ind.proj.pot,focal.germ?,bkgrd.germ?,notes,date,thinning,thinning_r3,nodules_present,nodule_notes - just from a subset of roots; can't eliminate contamination but can find it
1,30,28,0.6,0,1,ACAM,BRHO,0,focal,,NA,NA,X,1/10/24,CW,TB,8,0,,,thinned to 4 focals 2/14; SAVE 2 WHITE FOR CARMEN; WHITE & YELLOW FOR TB,,,
2,37,22,0.6,0,1,ACAM,BRHO,3,focal,,NA,X,X,1/11/24,CW,no,8,2,thinned to 4 focals 1/27,,thinned to 2 focals 2/11,,,
3,34,21,0.6,0,1,ACAM,BRHO,6,focal,,NA,X,X,1/11/24,CW,no,8,6,thinned to 4 focals 1/27,,thinned to 2 focals 2/11,,,
4,26,27,0.6,0,1,ACAM,BRHO,12,focal,,NA,X,X,1/10/24,CW,TB,8,14,more than density,,thinned to 4 focals 2/14; SAVE YELLOW & BLUE FOR CARMEN; RED FOR TB,,N,
5,37,22,0.6,0,1,ACAM,BRHO,18,focal,,NA,X,X,1/11/24,CW,no,7,13,thinned to 4 focals 1/27,,thinned to 2 focals 2/11,,,
6,20,4,0.6,0,1,ACAM,BRHO,24,focal,,NA,X,X,1/10/24,CW,TB,8,17,,,thinned to 4 focals 2/8; SAVE RED/WHITE INDIV FOR CARMEN; RED FOR TB,,N,
7,6,9,0.6,0,1,ACAM,BRHO,36,focal,,0.244,X,X,1/10/24,CW,no,6,23,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
8,44,3,0.6,0,1,ACAM,BRHO,48,focal,,0.324,X,X,1/10/24,CW,TB,6,39,,,thinned to 4 focals 2/8; SAVE 2 WHITE FOR CARMEN; GREEN/SILVER & BLUE FOR TB,,,
9,42,11,0.6,0,1,ACAM,BRHO,60,focal,,0.408,X,X,1/10/24,CW,no,6,37,sparse background; thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
10,17,3,0.6,0,1,ACAM,BRHO,84,focal,,0.569,X,X,1/10/24,CW,no,7,59,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
11,12,42,0.75,0,1,ACAM,BRHO,0,focal,moved from 12-42 cuz drip from ceiling,NA,NA,X,1/11/24,CW,no,,,,,thinned to 2 focals 2/14,,,
12,40,12,0.75,0,1,ACAM,BRHO,3,focal,,NA,X,X,1/10/24,CW,no,7,2,,,thinned to 2 focals 2/8,,,
13,17,3,0.75,0,1,ACAM,BRHO,6,focal,,NA,X,X,1/10/24,CW,no,7,6,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
14,39,42,0.75,0,1,ACAM,BRHO,12,focal,,,X,X,1/11/24,CW,no,,,,,thinned to 2 focals 2/14,,,
15,30,29,0.75,0,1,ACAM,BRHO,18,focal,,NA,X,X,1/11/24,CW,no,7,10,thinned to 4 focals 1/26,,thinned to 2 focals 2/9,,,
16,10,11,0.75,0,1,ACAM,BRHO,24,focal,,0.164,X,x,1/10/24,CW,no,8,19,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
17,21,19,0.75,0,1,ACAM,BRHO,36,focal,,0.244,X,X,1/11/24,CW,no,8,25,thinned to 4 focals 1/26,,thinned to 2 indiv 2/9 or 2/11?,,,
18,3,1,0.75,0,1,ACAM,BRHO,48,focal,,0.324,X,X,1/10/24,CW,no,8,40,thinned focals to 4 1/25,,thinned focals to 2 2/8,,,
19,41,9,0.75,0,1,ACAM,BRHO,60,focal,,0.408,X,X,1/10/24,CW,no,8,41,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
20,33,30,0.75,0,1,ACAM,BRHO,84,focal,,NA,X,X,1/11/24,CW,no,5,55,thinned to 4 focals 1/26,,thinned to 2 focals 2/9,,,
21,30,29,1,0,1,ACAM,BRHO,0,focal,,NA,NA,X,1/11/24,CW,TB,7,0,,,thinned to 4 focals 2/14,,,
22,17,3,1,0,1,ACAM,BRHO,3,focal,,NA,X,X,1/10/24,CW,no,8,4,more than density; thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
23,15,3,1,0,1,ACAM,BRHO,6,focal,,NA,X,X,1/10/24,CW,no,8,2,sparse background; thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
24,5,1,1,0,1,ACAM,BRHO,12,focal,,NA,X,X,1/10/24,CW,TB,8,9,,,thinned to 5 focals 2/8; SAVE 2 YELLOW for end; 3 teal are for Thomas sampling,,N,
25,9,10,1,0,1,ACAM,BRHO,18,focal,,NA,X,X,1/10/24,CW,no,8,11,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
26,,19,1,0,1,ACAM,BRHO,24,focal,,0.164,X,X,1/11/24,CW,TB,7,15,,,thinned to 4 focals 2/14; SAVE 1 YELLOW & 1 TEAL FOR CARMEN; OTHER TEAL & YELLOW FOR TB,,N,
27,35,21,1,0,1,ACAM,BRHO,36,focal,,0.244,X,X,1/11/24,CW,no,7,29,thinned to 4 focals 1/27,,thinned to 2 focals 2/11,,,
28,45,1,1,0,1,ACAM,BRHO,48,focal,,0.324,X,X,1/10/24,CW,TB,7,30,,,thinned to 4 focals 2/8; SAVE 2 PINK IN OPP CORNERS for end; pink and teal in same corner are for 1 & 2 month sampling,,,
29,20,19,1,0,1,ACAM,BRHO,60,focal,,0.408,X,X,1/11/24,CW,no,8,43,bkgrd a bit sparse; thinned to 4 focals 1/26,,thinned to 2 indiv 2/9 or 2/11?,,,
30,34,21,1,0,1,ACAM,BRHO,84,focal,,0.568,X,X,1/11/24,CW,no,8,49,bkgrd a bit sparse; thinned to 4 focals 1/27,,thinned to 2 focals 2/11,,,
31,33,30,0.6,0,2,ACAM,BRHO,0,focal,,,X,X,1/11/24,CW,TB,7,0,,,thinned to 4 focals 2/11; SAVE PURPLE FOR CARMEN; GOLD & PINK FOR TB,,,
32,21,19,0.6,0,2,ACAM,BRHO,3,focal,,NA,X,X,1/11/24,CW,no,7,3,thinned to 4 focals 1/26,,thinned to 2 indiv 2/9 or 2/11?,,,
33,45,29,0.6,0,2,ACAM,BRHO,6,focal,,NA,X,X,1/11/24,CW,no,7,4,thinned to 4 focals 1/26,,thinned to 2 focals 2/9,,,
34,18,4,0.6,0,2,ACAM,BRHO,12,focal,,NA,X,X,1/10/24,CW,TB,7,11,,,thinned to 4 focals 2/8; SAVE WHITE FOR CARMEN; PINK FOR TB,,N,
35,1,2,0.6,0,2,ACAM,BRHO,18,focal,,NA,X,X,1/10/24,CW,no,7,16,thinned to 4 focals 1/25,,thinned to 2 focals 2/8,,,
36,36,22,0.6,0,2,ACAM,BRHO,24,focal,,0.164,X,X,1/11/24,CW,TB,6,19,,,thinned to 4 focals 2/11; SAVE RED & YELLOW ON OPP SIDES OF POT FOR CARMEN; RED & YELLOW NEXT TO EACH OTHER FOR TB,,,
37,10,10,0.6,0,2,ACAM,BRHO,36,focal,,0.244,X,X,1/10/24,CW,no,7,39,more than density; thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
38,31,29,0.6,0,2,ACAM,BRHO,48,focal,,0.364,X,X,1/11/24,CW,TB,6,37,,,thinned to 4 focals 2/14; SAVE 2 PINK FOR CARMEN; PINK & BLUE FOR TB,,,
39,16,3,0.6,0,2,ACAM,BRHO,60,focal,,0.408,X,X,1/10/24,CW,no,7,431,sparse background; thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
40,43,4,0.6,0,2,ACAM,BRHO,84,focal,,0.567,X,X,1/10/24,CW,no,8,51,background a bit sparse; thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
41,9,10,0.75,0,2,ACAM,BRHO,0,focal,,NA,NA,X,1/10/24,CW,no,8,0,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
